participant,date,direction test,start landmark,facing landmark,target landmark,bearing,actual direction,abs error,same or different route,error in pointing task
10,2011-06-20 22:01:59 UTC,0,Tobler Museum,Sauer Center,Harvey House,12,147.248191,135.248191,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Tobler Museum,Sauer Center,Harris Hall,24,173.2852643,149.2852643,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Tobler Museum,Sauer Center,Golledge Hall,82,67.30353066,14.69646934,same,TRUE
10,2011-06-20 22:01:59 UTC,0,Tobler Museum,Sauer Center,Sauer Center,7,20.69981416,13.69981416,same,TRUE
10,2011-06-20 22:01:59 UTC,0,Tobler Museum,Sauer Center,Lynch Station,178,156.2355625,21.76443745,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Tobler Museum,Sauer Center,Batty House,167,171.0086651,4.008665136,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Tobler Museum,Sauer Center,Snow Church,35,38.78279809,3.782798086,same,TRUE
11,2011-06-21 18:27:29 UTC,0,Batty House,Lynch Station,Harris Hall,23,37.5286373,14.5286373,same,TRUE
11,2011-06-21 18:27:29 UTC,0,Batty House,Lynch Station,Lynch Station,26,47.32798389,21.32798389,same,TRUE
11,2011-06-21 18:27:29 UTC,0,Batty House,Lynch Station,Snow Church,55,48.19947553,6.800524469,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Batty House,Lynch Station,Sauer Center,6,30.3316951,24.3316951,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Batty House,Lynch Station,Golledge Hall,25,51.76768154,26.76768154,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Batty House,Lynch Station,Tobler Museum,10,37.30802198,27.30802198,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Batty House,Lynch Station,Harvey House,153,93.19423766,59.80576234,same,TRUE
11,2011-06-21 18:27:29 UTC,0,Lynch Station,Harris Hall,Golledge Hall,50,3.323863738,46.67613626,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Lynch Station,Harris Hall,Harvey House,124,48.19593801,75.80406199,same,TRUE
11,2011-06-21 18:27:29 UTC,0,Lynch Station,Harris Hall,Batty House,115,130.6542463,15.65424633,same,TRUE
11,2011-06-21 18:27:29 UTC,0,Lynch Station,Harris Hall,Tobler Museum,3,17.95076442,14.95076442,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Lynch Station,Harris Hall,Sauer Center,66,29.20903342,36.79096658,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Lynch Station,Harris Hall,Harris Hall,128,7.021704671,120.9782953,same,TRUE
11,2011-06-21 18:27:29 UTC,0,Lynch Station,Harris Hall,Snow Church,24,8.968174613,15.03182539,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Harris Hall,Harvey House,Snow Church,30,84.7281122,54.7281122,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Harris Hall,Harvey House,Harvey House,140,2.146796904,137.8532031,same,TRUE
11,2011-06-21 18:27:29 UTC,0,Harris Hall,Harvey House,Golledge Hall,53,77.71082192,24.71082192,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Harris Hall,Harvey House,Batty House,132,83.35216568,48.64783432,same,TRUE
11,2011-06-21 18:27:29 UTC,0,Harris Hall,Harvey House,Lynch Station,124,114.5627943,9.437205722,same,TRUE
11,2011-06-21 18:27:29 UTC,0,Harris Hall,Harvey House,Tobler Museum,55,99.95984558,44.95984558,different,TRUE
11,2011-06-21 18:27:29 UTC,0,Harris Hall,Harvey House,Sauer Center,35,110.6574336,75.65743363,different,TRUE
